,created_time,restaurant,limit_time
0,11:18:00,res_C,20
1,12:33:00,res_B,30
2,12:32:00,res_B,30
3,12:54:00,res_D,30
4,12:55:00,res_D,30
5,12:44:00,res_D,30
6,12:32:00,res_B,30
7,12:56:00,res_D,30
8,11:55:00,res_A,30
9,12:37:00,res_B,30
10,11:32:00,res_C,20
11,12:25:00,res_B,30
12,11:24:00,res_C,20
13,11:18:00,res_C,20
14,12:23:00,res_B,30
15,11:55:00,res_A,30
16,12:00:00,res_A,30
17,12:29:00,res_B,30
18,11:30:00,res_C,20
19,11:37:00,res_A,30
20,11:39:00,res_A,30
21,12:49:00,res_D,30
22,11:33:00,res_C,20
23,12:20:00,res_B,30
24,12:45:00,res_D,30
25,12:52:00,res_D,30
26,12:56:00,res_D,30
27,11:34:00,res_C,20
28,11:59:00,res_A,30
29,12:20:00,res_B,30
30,12:28:00,res_B,30
31,11:50:00,res_A,30
32,12:54:00,res_D,30
33,11:49:00,res_A,30
34,11:54:00,res_A,30
35,12:51:00,res_D,30
36,11:36:00,res_C,20
37,11:41:00,res_A,30
38,11:33:00,res_C,20
39,11:37:00,res_C,20
