,created_time,restaurant,limit_time
0,12:50:00,res_D,30
1,12:27:00,res_B,30
2,12:29:00,res_B,30
3,11:32:00,res_C,20
4,11:55:00,res_A,30
5,11:26:00,res_C,20
6,11:31:00,res_C,20
7,12:25:00,res_B,30
8,11:39:00,res_C,20
9,11:50:00,res_A,30
10,12:29:00,res_B,30
11,12:49:00,res_D,30
12,12:53:00,res_D,30
13,11:23:00,res_C,20
14,12:28:00,res_B,30
15,12:33:00,res_B,30
16,12:52:00,res_D,30
17,11:45:00,res_A,30
18,11:30:00,res_C,20
19,11:38:00,res_A,30
20,12:34:00,res_B,30
21,11:28:00,res_C,20
22,12:56:00,res_D,30
23,11:52:00,res_A,30
24,11:32:00,res_C,20
25,12:46:00,res_D,30
26,12:30:00,res_B,30
27,11:24:00,res_C,20
28,11:55:00,res_A,30
29,11:29:00,res_C,20
30,12:21:00,res_B,30
31,12:32:00,res_B,30
32,11:47:00,res_A,30
33,11:47:00,res_A,30
34,12:51:00,res_D,30
35,12:50:00,res_D,30
36,11:44:00,res_A,30
37,11:45:00,res_A,30
38,12:55:00,res_D,30
39,12:51:00,res_D,30
